                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.83045,                0.45826,                0.87202,                0.93896,                0.88673,                0.95771,                 0.7545,                0.77287,                0.41557,                0.86605,              0.0045842,              0.0045842,              0.0045842
                     56,                0.84062,                0.46095,                 0.8726,                0.93807,                0.89093,                0.95934,                0.76385,                0.76124,                0.40961,                0.86361,              0.0044296,              0.0044296,              0.0044296
                     57,                0.82628,                0.45612,                0.87013,                0.94017,                 0.8927,                0.96032,                0.76477,                0.76458,                0.40792,                0.86397,              0.0042756,              0.0042756,              0.0042756
                     58,                0.82648,                0.45417,                0.86918,                0.93973,                0.89316,                0.95957,                0.76384,                0.76042,                0.40827,                0.86262,              0.0041225,              0.0041225,              0.0041225
                     59,                0.81332,                0.44729,                0.86634,                0.94398,                0.89145,                0.96068,                  0.767,                0.75548,                 0.4032,                0.86219,              0.0039702,              0.0039702,              0.0039702
                     60,                0.81092,                0.44747,                0.86511,                0.94095,                0.89089,                0.95995,                0.76653,                0.75569,                0.40376,                0.86173,               0.003819,               0.003819,               0.003819
                     61,                0.80833,                0.44601,                0.86508,                0.94206,                0.89147,                0.96056,                 0.7685,                0.75105,                0.40184,                0.86048,               0.003669,               0.003669,               0.003669
                     62,                  0.804,                0.44312,                0.86425,                 0.9413,                0.89837,                0.96065,                0.76878,                0.74719,                0.39973,                0.86115,              0.0035204,              0.0035204,              0.0035204
                     63,                0.79962,                0.44112,                0.86518,                0.93963,                0.89472,                0.96172,                0.77359,                0.73913,                0.39773,                0.86029,              0.0033732,              0.0033732,              0.0033732
                     64,                 0.7978,                0.44003,                0.86286,                0.94124,                0.89705,                0.96189,                0.77289,                 0.7405,                0.39502,                0.85927,              0.0032278,              0.0032278,              0.0032278
                     65,                 0.7918,                0.43663,                0.86305,                0.94351,                 0.8984,                0.96273,                0.77455,                0.73719,                0.39345,                0.85778,              0.0030841,              0.0030841,              0.0030841
                     66,                0.79218,                0.43654,                0.86294,                0.94295,                0.89499,                0.96179,                0.77481,                0.73101,                0.39314,                0.85719,              0.0029424,              0.0029424,              0.0029424
                     67,                0.78941,                0.43554,                 0.8613,                0.94624,                0.89564,                0.96245,                0.77713,                0.72696,                0.39189,                0.85763,              0.0028027,              0.0028027,              0.0028027
                     68,                0.78395,                0.43299,                 0.8625,                0.94291,                0.90026,                0.96315,                0.77614,                0.72824,                0.39161,                0.85709,              0.0026653,              0.0026653,              0.0026653
                     69,                0.77768,                0.42993,                0.85912,                0.94381,                0.89749,                0.96245,                0.77767,                 0.7229,                 0.3889,                 0.8567,              0.0025302,              0.0025302,              0.0025302
                     70,                0.77889,                 0.4299,                0.86001,                0.94338,                0.89983,                0.96357,                0.77936,                0.71962,                0.38679,                0.85524,              0.0023977,              0.0023977,              0.0023977
                     71,                0.77356,                0.42626,                0.85677,                0.94262,                0.90111,                0.96297,                0.77945,                0.71616,                0.38512,                0.85553,              0.0022677,              0.0022677,              0.0022677
                     72,                0.76361,                0.42258,                0.85691,                0.94603,                0.89819,                0.96361,                0.78326,                0.71216,                0.38184,                0.85424,              0.0021405,              0.0021405,              0.0021405
                     73,                0.76805,                0.42424,                0.85803,                0.94488,                0.90057,                 0.9641,                0.78499,                0.70905,                0.38164,                0.85413,              0.0020161,              0.0020161,              0.0020161
                     74,                0.76477,                0.42098,                0.85753,                0.94532,                0.89988,                0.96415,                0.78628,                0.70512,                0.37986,                0.85303,              0.0018948,              0.0018948,              0.0018948
                     75,                0.76413,                0.42182,                0.85644,                0.94458,                0.90033,                0.96448,                0.78658,                0.70216,                0.37815,                0.85158,              0.0017765,              0.0017765,              0.0017765
                     76,                0.75989,                0.42104,                0.85651,                0.94553,                0.90048,                0.96367,                0.78499,                0.70295,                0.37843,                 0.8521,              0.0016615,              0.0016615,              0.0016615
                     77,                0.75092,                0.41503,                0.85317,                0.94702,                0.90181,                0.96507,                0.78856,                0.69729,                0.37556,                0.85231,              0.0015498,              0.0015498,              0.0015498
                     78,                0.75047,                0.41682,                0.85321,                0.94585,                0.90389,                0.96467,                0.78705,                0.69914,                  0.376,                0.85222,              0.0014416,              0.0014416,              0.0014416
                     79,                0.74518,                0.41179,                0.85283,                0.94621,                0.90323,                0.96581,                0.79178,                0.69446,                0.37431,                0.85104,               0.001337,               0.001337,               0.001337
                     80,                0.74269,                 0.4125,                0.85265,                0.94605,                0.90389,                0.96543,                0.79169,                0.69304,                0.37246,                 0.8505,               0.001236,               0.001236,               0.001236
                     81,                0.73563,                0.40772,                0.85101,                0.94805,                0.90418,                0.96621,                0.79428,                0.68833,                0.36956,                0.85005,              0.0011387,              0.0011387,              0.0011387
                     82,                 0.7419,                0.40957,                0.85086,                0.94477,                0.90585,                0.96598,                0.79343,                0.68879,                 0.3696,                0.85011,              0.0010454,              0.0010454,              0.0010454
                     83,                0.73346,                 0.4051,                0.84887,                0.94455,                0.90629,                 0.9658,                0.79396,                0.68677,                0.36868,                0.84962,             0.00095595,             0.00095595,             0.00095595
                     84,                0.73503,                0.40702,                0.84997,                0.94731,                0.90458,                0.96639,                0.79545,                0.68266,                0.36849,                0.84923,             0.00087058,             0.00087058,             0.00087058
                     85,                 0.7362,                0.40745,                0.85169,                0.94614,                0.90458,                0.96673,                0.79664,                0.67879,                0.36679,                0.84841,             0.00078933,             0.00078933,             0.00078933
                     86,                0.72655,                0.40424,                0.85017,                0.94878,                0.90376,                0.96649,                 0.7952,                0.67971,                0.36634,                0.84825,             0.00071228,             0.00071228,             0.00071228
                     87,                0.72847,                0.40305,                0.84733,                0.94716,                0.90616,                0.96724,                0.79863,                0.67619,                 0.3647,                0.84847,             0.00063952,             0.00063952,             0.00063952
                     88,                 0.7263,                0.40283,                0.85079,                0.94629,                 0.9077,                0.96681,                0.79773,                0.67648,                0.36503,                0.84895,             0.00057111,             0.00057111,             0.00057111
                     89,                0.72695,                0.40194,                0.84879,                0.94834,                0.90463,                0.96696,                0.79862,                0.67436,                0.36377,                  0.848,             0.00050711,             0.00050711,             0.00050711
                     90,                0.71575,                0.39815,                0.84805,                0.95007,                0.90563,                0.96721,                0.79974,                0.67346,                0.36272,                0.84832,             0.00044761,             0.00044761,             0.00044761
                     91,                0.70766,                0.38728,                0.83474,                0.95033,                0.90151,                0.96566,                0.79097,                0.69621,                0.37167,                0.85089,             0.00039264,             0.00039264,             0.00039264
                     92,                0.69235,                0.38145,                0.83086,                 0.9494,                0.90253,                0.96653,                0.79514,                0.68756,                0.36771,                0.84946,             0.00034227,             0.00034227,             0.00034227
                     93,                0.68683,                0.37879,                0.83079,                0.94958,                0.90397,                0.96668,                0.79649,                0.68349,                0.36613,                0.84943,             0.00029655,             0.00029655,             0.00029655
                     94,                0.68458,                0.37619,                0.83076,                0.94798,                0.90465,                0.96722,                0.79725,                0.68131,                0.36539,                0.84911,             0.00025551,             0.00025551,             0.00025551
                     95,                0.68042,                0.37512,                0.82914,                 0.9489,                0.90362,                0.96736,                 0.7986,                0.68025,                0.36427,                0.84885,             0.00021921,             0.00021921,             0.00021921
                     96,                0.67637,                0.37314,                0.82941,                0.94866,                0.90389,                0.96715,                0.79886,                0.67868,                0.36361,                0.84896,             0.00018768,             0.00018768,             0.00018768
                     97,                0.67954,                0.37401,                0.82797,                0.94933,                0.90401,                0.96751,                0.79957,                 0.6766,                0.36343,                0.84872,             0.00016094,             0.00016094,             0.00016094
                     98,                 0.6793,                0.37493,                0.82889,                0.94988,                0.90316,                0.96766,                0.80018,                0.67567,                0.36254,                0.84873,             0.00013903,             0.00013903,             0.00013903
                     99,                0.67326,                0.37076,                0.82765,                 0.9502,                0.90392,                0.96786,                0.80141,                 0.6749,                0.36155,                0.84836,             0.00012197,             0.00012197,             0.00012197
                    100,                0.67417,                0.37208,                0.82812,                0.94972,                 0.9035,                0.96787,                0.80101,                0.67463,                0.36194,                0.84827,             0.00010977,             0.00010977,             0.00010977
